pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
70.2,17.8,0.0,top,C31,GCM155R71H102KA37D,,C_0402_1005Metric,GCM155R71H102KA37D,smt
67.4,33.0,0.0,top,C32,GCM155R71H102KA37D,,C_0402_1005Metric,GCM155R71H102KA37D,smt
67.4,35.0,0.0,top,C33,GCM155R71H104KE02J,,C_0402_1005Metric,GCM155R71H104KE02J,smt
67.4,51.9,0.0,top,C34,GCM155R71H102KA37D,,C_0402_1005Metric,GCM155R71H102KA37D,smt
67.4,54.0,0.0,top,C35,GCM155R71H104KE02J,,C_0402_1005Metric,GCM155R71H104KE02J,smt
36.4,29.9,-135.0,top,C36,GCM188R71C105KA64J,,C_0603_1608Metric,GCM188R71C105KA64J,smt
63.6,14.7,0.0,top,C37,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
63.0,25.8,-90.0,top,C38,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
63.0,22.9,-90.0,top,C39,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
30.25,14.75,90.0,top,C4,GRJ32ER71H106KE11K,,C_1210_3225Metric,GRJ32ER71H106KE11K,smt
59.8,25.0,180.0,top,C40,TCJB157M006R0070,,[C] Kyocera AVC Tant Poly TCJB157M006R0070,TCJB157M006R0070,smt
59.8,21.4,180.0,top,C41,TCJB157M006R0070,,[C] Kyocera AVC Tant Poly TCJB157M006R0070,TCJB157M006R0070,smt
44.2,13.5,0.0,top,C42,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
61.4,42.2,-135.0,top,C43,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
59.3,39.1,-135.0,top,C44,TCJB157M006R0070,,[C] Kyocera AVC Tant Poly TCJB157M006R0070,TCJB157M006R0070,smt
64.8,38.0,135.0,top,C45,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
61.8,36.5,-135.0,top,C46,TCJB157M006R0070,,[C] Kyocera AVC Tant Poly TCJB157M006R0070,TCJB157M006R0070,smt
47.3,23.3,45.0,top,C47,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
67.8,25.2,0.0,top,C48,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
67.8,21.0,0.0,top,C49,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
21.5,15.25,90.0,top,C5,GCM155R71H223KA55D,,C_0402_1005Metric,GCM155R71H223KA55D,smt
67.9,45.1,0.0,top,C50,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
67.9,40.95,0.0,top,C51,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
33.25,47.5,90.0,top,C52,GCM155R71C104KA55D,,C_0402_1005Metric,GCM155R71C104KA55D,smt
